"Indicator type","Indicator","Description"
"IPv4","34.171.131.12",""
"IPv4","18.205.151.250",""
"IPv4","218.92.0.222",""
"IPv4","218.92.0.222",""
"IPv4","223.240.116.60",""
"IPv4","193.32.162.131",""
"IPv4","218.92.0.233",""
"IPv4","185.93.89.118",""
"IPv4","92.118.39.86",""
"IPv4","218.92.0.231",""
"IPv4","97.64.23.231",""
"IPv4","218.92.0.134",""
"IPv4","219.147.74.48",""
"IPv4","158.51.124.56",""
"IPv4","185.93.89.118",""
"IPv4","34.101.205.204",""
"IPv4","96.67.59.65",""
"IPv4","218.92.0.198",""
"IPv4","218.92.0.230",""
"IPv4","183.224.219.194",""
"IPv4","49.73.84.1",""
"IPv4","218.92.0.227",""
"IPv4","94.156.112.28",""
"IPv4","113.106.63.54",""
"IPv4","62.99.74.172",""
"IPv4","89.108.93.32",""
"IPv4","217.160.7.83",""
"IPv4","103.203.224.181",""
"IPv4","218.92.0.111",""
"IPv4","111.67.196.52",""
"IPv4","164.92.175.175",""
"IPv4","35.200.237.19",""
"IPv4","139.59.21.115",""
"IPv4","159.65.154.92",""
"IPv4","197.199.224.52",""
"IPv4","92.118.39.74",""
"IPv4","134.122.191.205",""
"IPv4","173.212.231.185",""
"IPv4","139.59.64.179",""
"IPv4","36.110.138.56",""
"IPv4","34.166.123.35",""
"IPv4","101.126.130.137",""
"IPv4","128.199.30.150",""
"IPv4","51.75.20.198",""
"IPv4","92.118.39.73",""
"IPv4","201.48.78.29",""
"IPv4","197.5.145.150",""
"IPv4","179.51.153.37",""
"IPv4","80.94.95.112",""
"IPv4","164.177.31.66",""
"IPv4","58.211.191.14",""
"IPv4","218.92.0.134",""
"IPv4","61.99.254.192",""
"IPv4","14.103.126.104",""
"IPv4","103.250.10.121",""
"IPv4","220.250.52.123",""
"IPv4","121.181.97.246",""
"IPv4","218.92.0.134",""
"IPv4","185.93.89.118",""
"IPv4","218.92.0.230",""
"IPv4","2.57.122.193",""
"IPv4","148.66.132.190",""
"IPv4","80.94.95.112",""
"IPv4","218.92.0.111",""
"IPv4","218.92.0.217",""
"IPv4","14.103.107.214",""
"IPv4","54.38.79.136",""
"IPv4","218.92.0.114",""
"IPv4","67.205.133.205",""
"IPv4","129.151.231.27",""
"IPv4","80.94.95.112",""
"IPv4","45.207.211.56",""
"IPv4","103.165.139.145",""
"IPv4","80.94.95.112",""
"IPv4","82.65.43.136",""
"IPv4","159.223.195.48",""
"IPv4","171.244.139.238",""
"IPv4","218.92.0.236",""
"IPv4","36.158.177.47",""
"IPv4","218.92.0.143",""
"IPv4","218.92.0.230",""
"IPv4","164.90.131.79",""
"IPv4","218.92.0.153",""
"IPv4","218.92.0.153",""
"IPv4","218.92.0.153",""
"IPv4","218.92.0.217",""
"IPv4","218.92.0.226",""
"IPv4","218.92.0.153",""
"IPv4","218.92.0.237",""
"IPv4","122.156.167.62",""
"IPv4","218.92.0.153",""
"IPv4","80.94.95.112",""
"IPv4","122.156.167.62",""
"IPv4","218.92.0.134",""
"IPv4","196.251.84.225",""
"IPv4","218.92.0.220",""
"IPv4","218.92.0.112",""
"IPv4","167.71.104.237",""
"IPv4","175.6.39.20",""
"IPv4","190.167.237.191",""
"IPv4","181.143.226.68",""
"IPv4","218.92.0.134",""
"IPv4","210.91.154.187",""
"IPv4","20.169.248.82",""
"IPv4","35.246.248.48",""
"IPv4","164.152.61.233",""
"IPv4","186.10.125.209",""
"IPv4","118.201.79.222",""
"IPv4","178.252.132.250",""
"IPv4","35.237.94.18",""
"IPv4","186.23.212.215",""
"IPv4","117.34.211.24",""
"IPv4","187.95.160.53",""
"IPv4","150.138.114.72",""
"IPv4","96.78.175.36",""
"IPv4","103.145.145.74",""
"IPv4","96.78.175.36",""
"IPv4","218.92.0.237",""
"IPv4","129.151.231.27",""
"IPv4","27.72.31.67",""
"IPv4","185.93.89.118",""
"IPv4","120.50.8.53",""
"IPv4","129.151.231.27",""
"IPv4","115.151.72.122",""
"IPv4","150.129.63.14",""
"IPv4","150.129.63.14",""
"IPv4","185.141.132.26",""
"IPv4","152.228.131.33",""
"IPv4","185.255.91.39",""
"IPv4","218.92.0.222",""
"IPv4","139.59.119.5",""
